LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,0.5NAVGFPS+0.5PE,NAVGFPSPE,NAA,NAG,NAP
6,1,2,3,6,3,4,5,3,5,4,1000,43,5,2,F,18 to 25,4.30944307,0.4848484848,0.8273607675,0.6561046262,0.5735459732,0,0.5,1
6,1,2,3,6,1,3,4,5,5,4,1000,43,3,3,M,18 to 25,4.05459643,0.4848484848,0.7636491075,0.6242487962,0.5297987206,0,0.5,1
6,1,2,3,6,2,4,3,4,4,4,1000,44,3,4,F,12 to 17,3.58985237,0.5151515152,0.6474630925,0.5813073038,0.4708276526,0,0.5,1
6,1,2,3,6,1,3,3,3,2,2,1000,45,4,5,M,18 to 25,2.18864816,0.5454545455,0.29716204,0.4213082927,0.2511028121,0,0.5,1
6,1,2,3,6,1,3,4,3,2,3,858,44,4,6,F,18 to 25,2.36754243,0.5151515152,0.3418856075,0.4285185613,0.2610045928,0,0.5,1
6,1,2,3,6,1,3,3,5,4,4,1000,42,4,7,F,18 to 25,3.47587554,0.4545454545,0.618968885,0.5367571698,0.4096474551,0,0.5,1
6,1,2,3,6,3,5,5,5,5,5,1000,44,3,8,M,12 to 17,4.70865602,0.5151515152,0.927164005,0.7211577601,0.6628827096,0,0.5,1
6,1,2,3,6,1,5,5,5,5,5,724,45,5,9,F,18 to 25,4.41731204,0.5454545455,0.85432801,0.6998912777,0.6336776888,0,0.5,1
6,1,2,3,6,1,3,2,4,5,3,1000,34,4,10,F,12 to 17,3.63329268,0.2121212121,0.65832317,0.4352221911,0.270210612,0,0.5,1
6,1,2,3,6,2,4,4,2,3,3,1000,43,2,11,M,18 to 25,2.9414365,0.4848484848,0.485359125,0.4851038049,0.3387124707,0,0.5,1
6,1,2,3,6,1,3,2,2,3,2,1000,43,4,12,M,18 to 25,2.40615592,0.4848484848,0.35153898,0.4181937324,0.2468256215,0,0.5,1
6,1,2,3,6,1,5,5,4,5,4,337,44,5,13,M,18 to 25,4.23361559,0.5151515152,0.8084038975,0.6617777063,0.5813367503,0,0.5,1
6,1,2,3,6,2,4,5,5,5,5,1000,41,5,14,F,18 to 25,4.47107336,0.4242424242,0.86776834,0.6460053821,0.5596767951,0,0.5,1
6,1,2,3,6,1,5,5,5,5,4,1000,40,3,15,F,18 to 25,4.35722142,0.3939393939,0.839305355,0.6166223745,0.5193254415,0,0.5,1
6,1,2,3,6,2,3,4,4,5,3,1000,39,4,16,F,18 to 25,4.01657197,0.3636363636,0.7541429925,0.5588896781,0.4400417796,0,0.5,1
6,1,2,3,6,1,5,5,5,5,4,1000,39,3,17,M,18 to 25,4.35722142,0.3636363636,0.839305355,0.6014708593,0.4985180363,0,0.5,1
6,1,2,3,6,1,3,3,4,4,4,1000,40,3,18,F,18 to 25,3.35226971,0.3939393939,0.5880674275,0.4910034107,0.346814333,0,0.5,1
6,1,2,3,6,5,5,5,5,5,5,1000,44,2,19,F,18 to 25,5,0.5151515152,1,0.7575757576,0.7128951355,0,0.5,1
6,1,2,3,6,1,4,4,4,3,4,893,44,1,20,F,18 to 25,3.10306679,0.5151515152,0.5257666975,0.5204591063,0.3872655081,0,0.5,1
6,1,2,3,6,3,4,4,4,4,4,1000,44,3,21,F,18 to 25,3.85432801,0.5151515152,0.7135820025,0.6143667588,0.5162278299,0,0.5,1
6,1,2,3,6,1,3,1,3,3,2,1000,44,3,22,M,12 to 17,2.4109581,0.5151515152,0.352739525,0.4339455201,0.2684573742,0,0.5,1
6,1,2,3,6,5,4,5,4,4,4,1000,43,4,23,F,12 to 17,4.26447564,0.4848484848,0.81611891,0.6504836974,0.5658268151,0,0.5,1
6,1,2,3,6,1,3,2,2,3,3,1000,42,4,24,F,18 to 25,2.46624654,0.4545454545,0.366561635,0.4105535448,0.2363334378,0,0.5,1
7,1,1,3,5,1,5,5,3,3,4,1000,57,5,1,F,18 to 25,3.19017528,0.9090909091,0.54754382,0.7283173645,0.6727149138,0,0,1
7,1,1,3,5,3,4,5,4,5,4,1000,53,5,2,F,18 to 25,4.4330489,0.7878787879,0.858262225,0.8230705064,0.8028383367,0,0,1
7,1,1,3,5,1,5,5,5,5,5,1000,53,3,3,M,18 to 25,4.41731204,0.7878787879,0.85432801,0.8211033989,0.8001369301,0,0,1
7,1,1,3,5,2,4,4,4,4,4,1000,51,3,4,F,12 to 17,3.70865602,0.7272727273,0.677164005,0.7022183661,0.6368734531,0,0,1
7,1,1,3,5,1,2,1,1,1,1,1000,53,4,5,M,18 to 25,1.09191067,0.7878787879,0.0229776675,0.4054282277,0.2292948976,0,0,1
7,1,1,3,5,1,2,3,3,3,3,1000,56,4,6,F,18 to 25,2.61674535,0.8787878788,0.4041863375,0.6414871081,0.5534719003,0,0,1
7,1,1,3,5,1,3,3,5,4,4,1000,53,4,7,F,18 to 25,3.47587554,0.7878787879,0.618968885,0.7034238364,0.6385289119,0,0,1
7,1,1,3,5,3,4,5,5,5,5,1000,52,3,8,M,12 to 17,4.61674535,0.7575757576,0.9041863375,0.8308810475,0.8135644649,0,0,1
7,1,1,3,5,1,5,5,5,5,5,998,60,5,9,F,18 to 25,4.41731204,1,0.85432801,0.927164005,0.9457887663,0,0,1
7,1,1,3,5,1,3,2,3,5,2,1000,55,4,10,F,12 to 17,3.44959623,0.8484848485,0.6123990575,0.730441953,0.6756325872,0,0,1
7,1,1,3,5,2,4,4,2,3,3,1000,56,2,11,M,18 to 25,2.9414365,0.8787878788,0.485359125,0.6820735019,0.6092087379,0,0,1
7,1,1,3,5,1,2,3,2,2,2,1000,55,4,12,M,18 to 25,1.97313166,0.8484848485,0.243282915,0.5458838817,0.4221810659,0,0,1
7,1,1,3,5,1,5,5,4,5,4,1000,50,5,13,M,18 to 25,4.23361559,0.696969697,0.8084038975,0.7526867972,0.7061811813,0,0,1
7,1,1,3,5,1,3,5,5,5,5,1000,50,5,14,F,18 to 25,4.2334907,0.696969697,0.808372675,0.752671186,0.7061597426,0,0,1
7,1,1,3,5,1,4,5,5,5,4,1000,46,3,15,F,18 to 25,4.26531075,0.5757575758,0.8163276875,0.6960426316,0.6283923865,0,0,1
7,1,1,3,5,2,3,3,2,4,3,894,51,4,16,F,18 to 25,3.19063942,0.7272727273,0.547659855,0.6374662911,0.5479501576,0,0,1
7,1,1,3,5,1,5,5,4,4,4,979,52,3,17,M,18 to 25,3.77369835,0.7575757576,0.6934245875,0.7255001725,0.6688460957,0,0,1
7,1,1,3,5,1,4,4,3,3,3,1000,52,3,18,F,18 to 25,2.91937034,0.7575757576,0.479842585,0.6187091713,0.5221912161,0,0,1
7,1,1,3,5,5,5,5,5,5,5,155,52,2,19,F,18 to 25,5,0.7575757576,1,0.8787878788,0.8793543768,0,0,1
7,1,1,3,5,1,4,4,4,3,4,1000,57,1,20,F,18 to 25,3.10306679,0.9090909091,0.5257666975,0.7174288033,0.6577617752,0,0,1
7,1,1,3,5,3,4,5,4,5,4,1000,54,3,21,F,18 to 25,4.4330489,0.8181818182,0.858262225,0.8382220216,0.8236457419,0,0,1
7,1,1,3,5,1,3,4,3,3,2,1000,51,3,22,M,12 to 17,2.76736905,0.7272727273,0.4418422625,0.5845574949,0.4752911034,0,0,1
7,1,1,3,5,5,4,4,3,3,4,588,56,4,23,F,12 to 17,3.56214892,0.8787878788,0.64053723,0.7596625544,0.7157609101,0,0,1
7,1,1,3,5,1,2,1,3,4,2,1000,50,4,24,F,18 to 25,2.77896467,0.696969697,0.4447411675,0.5708554322,0.456474215,0,0,1
8,1,2,2,5,1,5,5,4,4,3,1000,47,5,1,F,18 to 25,3.71360773,0.6060606061,0.6784019325,0.6422312693,0.5544938484,0,0.5,0.5
