LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
6,1,2,3,6,2,3,4,4,5,3,1000,39,4,16,F,18 to 25,4.01657197,0.3636363636,0.7541429925,,,,
6,1,2,3,6,1,5,5,5,5,4,1000,39,3,17,M,18 to 25,4.35722142,0.3636363636,0.839305355,,,,
6,1,2,3,6,1,3,3,4,4,4,1000,40,3,18,F,18 to 25,3.35226971,0.3939393939,0.5880674275,,,,
6,1,2,3,6,5,5,5,5,5,5,1000,44,2,19,F,18 to 25,5,0.5151515152,1,,,,
6,1,2,3,6,1,4,4,4,3,4,893,44,1,20,F,18 to 25,3.10306679,0.5151515152,0.5257666975,,,,
6,1,2,3,6,3,4,4,4,4,4,1000,44,3,21,F,18 to 25,3.85432801,0.5151515152,0.7135820025,,,,
6,1,2,3,6,1,3,1,3,3,2,1000,44,3,22,M,12 to 17,2.4109581,0.5151515152,0.352739525,,,,
6,1,2,3,6,5,4,5,4,4,4,1000,43,4,23,F,12 to 17,4.26447564,0.4848484848,0.81611891,,,,
6,1,2,3,6,1,3,2,2,3,3,1000,42,4,24,F,18 to 25,2.46624654,0.4545454545,0.366561635,,,,
7,1,1,3,5,1,5,5,3,3,4,1000,57,5,1,F,18 to 25,3.19017528,0.9090909091,0.54754382,,,,
7,1,1,3,5,3,4,5,4,5,4,1000,53,5,2,F,18 to 25,4.4330489,0.7878787879,0.858262225,,,,
7,1,1,3,5,1,5,5,5,5,5,1000,53,3,3,M,18 to 25,4.41731204,0.7878787879,0.85432801,,,,
7,1,1,3,5,2,4,4,4,4,4,1000,51,3,4,F,12 to 17,3.70865602,0.7272727273,0.677164005,,,,
7,1,1,3,5,1,2,1,1,1,1,1000,53,4,5,M,18 to 25,1.09191067,0.7878787879,0.0229776675,,,,
7,1,1,3,5,1,2,3,3,3,3,1000,56,4,6,F,18 to 25,2.61674535,0.8787878788,0.4041863375,,,,
